featureNam,featureRef,featureAlt,POINT_X,POINT_Y,admin1_state,admin2_county,admin3_payam,admin4_boma,County_id,county_x_centroid,county_y_centroid,Boma_id,boma_x_centroid,boma_y_centroid,Payam_id,payam_x_centroid,payam_y_centroid
Dem Bashir,Dem Bashir,,28.3,8.57,Warrap,Gogrial West,Alek South,Ameeth,42,28.10580194,8.57656553,1219,28.23082566,8.591245006,285,28.14947446,8.61208577
Liet Chan,Liet Chan,Lietchan,28.38,8.57,Warrap,Gogrial East,Toch West,Panacier,41,28.59139128,8.600532026,1209,28.38210015,8.582609405,281,28.32909235,8.462330446
Abiey,Abiey,,28.66447222,8.583280571,Warrap,Tonj North,Aliek,Patei,44,28.9168122,8.246538645,1282,28.82304643,8.610924616,304,28.81278994,8.558606593
Langkap,Langkap,,28.90633,8.573,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Abiey,Abiey,,28.15245739,8.574654654,Warrap,Gogrial West,Alek South,Ngapathian,42,28.10580194,8.57656553,1221,28.14182298,8.585838218,285,28.14947446,8.61208577
Atual',Atual,,28.24005672,8.576414562,Warrap,Gogrial West,Alek South,Ameeth,42,28.10580194,8.57656553,1219,28.23082566,8.591245006,285,28.14947446,8.61208577
Amyl,Amyl,,28.44809065,8.57949101,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Mangok,Mangok,,28.63,8.58,Warrap,Gogrial East,Nyang,Mayenjur,41,28.59139128,8.600532026,1198,28.61175894,8.583201902,276,28.61175894,8.583201902
Kwaich,Kwaich,,28.19912085,8.580110497,Warrap,Gogrial West,Alek South,Ngapathian,42,28.10580194,8.57656553,1221,28.14182298,8.585838218,285,28.14947446,8.61208577
Gungar,Gungar,,27.99455739,8.584454531,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
Mading,Mading,,27.95,8.59,Warrap,Gogrial West,Gogrial,Mandeng,42,28.10580194,8.57656553,1227,28.06557772,8.480766752,287,28.03302642,8.496977221
Ajung Shol,Ajung Shol,,28.28,8.59,Warrap,Gogrial West,Alek South,Ameeth,42,28.10580194,8.57656553,1219,28.23082566,8.591245006,285,28.14947446,8.61208577
Ping Dit,Ping Dit,,28.43,8.59,Warrap,Gogrial East,Toch East,Nyangdit,41,28.59139128,8.600532026,1204,28.50952831,8.474787279,279,28.76969085,8.788344901
Abiey,Abiey,,28.97831459,8.590123224,Warrap,Tonj North,Alabek,Langkap,44,28.9168122,8.246538645,1280,29.09178637,8.58415307,303,29.04836605,8.584674128
Mashar,Mashar,,28.31566769,8.591359492,Warrap,Gogrial West,Alek North,Mankuaac,42,28.10580194,8.57656553,1217,28.30580961,8.676065033,284,28.29537706,8.732276882
Machok,Machok,,28.08968402,8.593540219,Warrap,Gogrial West,Gogrial,Gogrial,42,28.10580194,8.57656553,1225,28.07417649,8.550909672,287,28.03302642,8.496977221
Njueir,Njueir,,28.81776174,8.59397513,Warrap,Tonj North,Alabek,Mading,44,28.9168122,8.246538645,1281,28.8581842,8.543497367,303,29.04836605,8.584674128
Rumbel,Rumbel,,28.22041497,8.594620276,Warrap,Gogrial West,Alek South,Ameeth,42,28.10580194,8.57656553,1219,28.23082566,8.591245006,285,28.14947446,8.61208577
